Repo_ID,Name,Stars,License,URL,Created_At,Updated_At,Last_Grabbed_At,First_Grabbed_At
1103643573,openai/skills,2126,,https://github.com/openai/skills,2025-11-25 14:25:42,2026-01-28 21:50:14,2026-01-28 21:54:07,2026-01-28 21:46:40
1078079172,ComposioHQ/awesome-claude-skills,27282,None,https://github.com/ComposioHQ/awesome-claude-skills,2025-10-17 15:15:01,2026-01-28 23:03:10,2026-01-28 23:08:32,2026-01-28 21:46:40
1117639997,agentskills/agentskills,7689,None,https://github.com/agentskills/agentskills,2025-12-16 23:47:19,2026-01-28 22:46:57,2026-01-28 23:08:32,2026-01-28 21:46:40
1134447175,trailofbits/skills,2125,cc-by-sa-4.0,https://github.com/trailofbits/skills,2026-01-15 02:23:21,2026-01-28 23:07:01,2026-01-28 23:08:32,2026-01-28 21:46:40
1081645030,mrgoonie/claudekit-skills,1485,None,https://github.com/mrgoonie/claudekit-skills,2025-10-23 12:43:54,2026-01-28 22:23:30,2026-01-28 23:08:32,2026-01-28 21:46:40
1140843380,mvanhorn/last30days-skill,1356,None,https://github.com/mvanhorn/last30days-skill,2026-01-24 04:37:37,2026-01-28 23:08:02,2026-01-28 23:08:32,2026-01-28 21:46:40
1130841791,op7418/NanoBanana-PPT-Skills,1039,None,https://github.com/op7418/NanoBanana-PPT-Skills,2026-01-09 13:02:44,2026-01-28 23:04:20,2026-01-28 23:08:32,2026-01-28 21:46:40
1128063451,huangserva/skill-prompt-generator,949,None,https://github.com/huangserva/skill-prompt-generator,2026-01-05 12:49:44,2026-01-28 23:04:45,2026-01-28 23:08:32,2026-01-28 21:46:40
1080976138,Prat011/awesome-llm-skills,771,None,https://github.com/Prat011/awesome-llm-skills,2025-10-22 14:15:37,2026-01-28 23:00:56,2026-01-28 23:08:32,2026-01-28 21:46:40
1140048470,KKKKhazix/Khazix-Skills,702,None,https://github.com/KKKKhazix/Khazix-Skills,2026-01-23 02:59:12,2026-01-28 22:57:55,2026-01-28 23:08:32,2026-01-28 21:46:40
1138100119,YuJunZhiXue/StudyAnalysis-Skills,274,None,https://github.com/YuJunZhiXue/StudyAnalysis-Skills,2026-01-20 16:42:35,2026-01-28 22:00:12,2026-01-28 23:08:32,2026-01-28 21:46:40
1136860943,comeonzhj/Auto-Redbook-Skills,251,None,https://github.com/comeonzhj/Auto-Redbook-Skills,2026-01-18 21:51:27,2026-01-28 22:24:35,2026-01-28 23:08:32,2026-01-28 21:46:40
1132750706,ComposioHQ/awesome-codex-skills,227,None,https://github.com/ComposioHQ/awesome-codex-skills,2026-01-12 19:58:21,2026-01-28 22:51:26,2026-01-28 23:08:32,2026-01-28 21:46:40
1139519633,jdrhyne/agent-skills,138,None,https://github.com/jdrhyne/agent-skills,2026-01-22 12:10:47,2026-01-28 23:08:18,2026-01-28 23:08:32,2026-01-28 21:46:40
