Repo_ID,Name,Stars,License,URL,Created_At,Updated_At,Last_Grabbed_At
1138465232,intellectronica/agent-skills,175,cc0-1.0,https://github.com/intellectronica/agent-skills,2026-01-21 01:53:00,2026-02-05 01:56:45,2026-02-05 13:09:33
1102903896,huggingface/skills,1164,apache-2.0,https://github.com/huggingface/skills,2025-11-24 15:31:48,2026-02-05 11:13:14,2026-02-05 13:09:33
1128123594,volcengine/OpenViking,905,apache-2.0,https://github.com/volcengine/OpenViking,2026-01-05 15:11:17,2026-02-05 12:21:57,2026-02-05 13:09:33
1083790746,instavm/open-skills,362,apache-2.0,https://github.com/instavm/open-skills,2025-10-27 02:09:49,2026-02-05 01:28:16,2026-02-05 13:09:33
1123538703,tsale/awesome-dfir-skills,243,apache-2.0,https://github.com/tsale/awesome-dfir-skills,2025-12-27 12:51:50,2026-02-04 15:11:28,2026-02-05 13:09:33
1133647197,astronomer/agents,173,apache-2.0,https://github.com/astronomer/agents,2026-01-14 00:23:31,2026-02-05 10:47:58,2026-02-05 13:09:33
1128612043,getsentry/skills,172,apache-2.0,https://github.com/getsentry/skills,2026-01-06 06:41:55,2026-02-05 09:53:27,2026-02-05 13:09:33
1125486836,shareAI-lab/shareAI-skills,113,apache-2.0,https://github.com/shareAI-lab/shareAI-skills,2025-12-31 04:18:00,2026-02-05 11:36:04,2026-02-05 13:09:33
1106996539,nextlevelbuilder/ui-ux-pro-max-skill,27752,mit,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30 19:36:31,2026-02-05 13:01:11,2026-02-05 13:09:33
1127110039,OthmanAdi/planning-with-files,13002,mit,https://github.com/OthmanAdi/planning-with-files,2026-01-03 15:37:28,2026-02-05 13:04:17,2026-02-05 13:09:33
1078319457,yusufkaraaslan/Skill_Seekers,8949,mit,https://github.com/yusufkaraaslan/Skill_Seekers,2025-10-17 22:43:48,2026-02-05 12:46:02,2026-02-05 13:09:33
1120349776,muratcankoylan/Agent-Skills-for-Context-Engineering,8101,mit,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering,2025-12-21 10:43:42,2026-02-05 12:52:22,2026-02-05 13:09:33
1079456184,K-Dense-AI/claude-scientific-skills,7890,mit,https://github.com/K-Dense-AI/claude-scientific-skills,2025-10-20 04:54:15,2026-02-05 12:57:34,2026-02-05 13:09:33
1134426800,sickn33/antigravity-awesome-skills,7182,mit,https://github.com/sickn33/antigravity-awesome-skills,2026-01-15 01:48:09,2026-02-05 13:05:00,2026-02-05 13:09:33
1079107863,PleasePrompto/notebooklm-skill,3246,mit,https://github.com/PleasePrompto/notebooklm-skill,2025-10-19 13:36:13,2026-02-05 12:50:08,2026-02-05 13:09:33
1129786550,teng-lin/notebooklm-py,1764,mit,https://github.com/teng-lin/notebooklm-py,2026-01-07 23:27:19,2026-02-05 11:30:08,2026-02-05 13:09:33
1079084637,alirezarezvani/claude-skills,1576,mit,https://github.com/alirezarezvani/claude-skills,2025-10-19 12:04:05,2026-02-05 12:10:37,2026-02-05 13:09:33
1078171437,gadievron/raptor,1049,mit,https://github.com/gadievron/raptor,2025-10-17 18:10:40,2026-02-05 12:54:54,2026-02-05 13:09:33
1118483478,skillcreatorai/Ai-Agent-Skills,724,mit,https://github.com/skillcreatorai/Ai-Agent-Skills,2025-12-18 04:31:30,2026-02-05 12:43:22,2026-02-05 13:09:33
1084058975,K-Dense-AI/claude-scientific-writer,658,mit,https://github.com/K-Dense-AI/claude-scientific-writer,2025-10-27 14:52:45,2026-02-05 13:06:07,2026-02-05 13:09:33
1098348050,BrownFineSecurity/iothackbot,592,mit,https://github.com/BrownFineSecurity/iothackbot,2025-11-17 23:18:28,2026-02-05 08:32:10,2026-02-05 13:09:33
1128712337,openclaw/skills,583,mit,https://github.com/openclaw/skills,2026-01-06 11:39:15,2026-02-05 13:02:24,2026-02-05 13:09:33
1139643103,adithya-s-k/manim_skill,558,mit,https://github.com/adithya-s-k/manim_skill,2026-01-22 16:18:47,2026-02-05 12:20:49,2026-02-05 13:09:33
1125558827,wshuyi/x-article-publisher-skill,553,mit,https://github.com/wshuyi/x-article-publisher-skill,2025-12-31 08:19:52,2026-02-05 10:35:08,2026-02-05 13:09:33
1081140442,daymade/claude-code-skills,547,mit,https://github.com/daymade/claude-code-skills,2025-10-22 19:17:31,2026-02-05 11:05:05,2026-02-05 13:09:33
1124990304,tripleyak/SkillForge,504,mit,https://github.com/tripleyak/SkillForge,2025-12-30 09:02:27,2026-02-05 12:01:30,2026-02-05 13:09:33
1080588167,alirezarezvani/claude-code-skill-factory,462,mit,https://github.com/alirezarezvani/claude-code-skill-factory,2025-10-21 23:20:47,2026-02-05 08:56:24,2026-02-05 13:09:33
1137485434,softaworks/agent-toolkit,458,mit,https://github.com/softaworks/agent-toolkit,2026-01-19 20:35:40,2026-02-05 12:59:15,2026-02-05 13:09:33
1127402712,kasperjunge/agent-resources,384,mit,https://github.com/kasperjunge/agent-resources,2026-01-04 04:11:07,2026-02-05 05:21:48,2026-02-05 13:09:33
1121759870,kalil0321/reverse-api-engineer,375,mit,https://github.com/kalil0321/reverse-api-engineer,2025-12-23 22:04:45,2026-02-05 09:54:19,2026-02-05 13:09:33
1078822068,intellectronica/skillz,347,mit,https://github.com/intellectronica/skillz,2025-10-18 21:54:23,2026-02-05 10:37:26,2026-02-05 13:09:33
1141853351,joeseesun/anything-to-notebooklm,312,mit,https://github.com/joeseesun/anything-to-notebooklm,2026-01-25 22:48:01,2026-02-05 12:39:12,2026-02-05 13:09:33
1080225523,K-Dense-AI/claude-skills-mcp,304,mit,https://github.com/K-Dense-AI/claude-skills-mcp,2025-10-21 11:53:28,2026-02-05 09:10:22,2026-02-05 13:09:33
1120001588,notedit/happy-skills,298,mit,https://github.com/notedit/happy-skills,2025-12-20 17:23:37,2026-02-04 16:06:45,2026-02-05 13:09:33
1091022859,ailabs-393/ai-labs-claude-skills,293,mit,https://github.com/ailabs-393/ai-labs-claude-skills,2025-11-06 21:03:42,2026-02-04 17:14:46,2026-02-05 13:09:33
1107847846,gotalab/skillport,290,mit,https://github.com/gotalab/skillport,2025-12-02 01:29:59,2026-02-05 00:30:04,2026-02-05 13:09:33
1080070047,Jeffallan/claude-skills,265,mit,https://github.com/Jeffallan/claude-skills,2025-10-21 04:27:22,2026-02-05 11:25:45,2026-02-05 13:09:33
1106580780,vstorm-co/pydantic-deepagents,262,mit,https://github.com/vstorm-co/pydantic-deepagents,2025-11-29 22:36:36,2026-02-05 07:37:02,2026-02-05 13:09:33
1123503916,iamzhihuix/happy-claude-skills,249,mit,https://github.com/iamzhihuix/happy-claude-skills,2025-12-27 10:40:43,2026-02-04 17:23:53,2026-02-05 13:09:33
1141100288,aitytech/agentkits-marketing,202,mit,https://github.com/aitytech/agentkits-marketing,2026-01-24 16:44:05,2026-02-05 12:32:42,2026-02-05 13:09:33
1134675966,GPTomics/bioSkills,195,mit,https://github.com/GPTomics/bioSkills,2026-01-15 11:26:22,2026-02-05 06:54:03,2026-02-05 13:09:33
1092747695,scarletkc/vexor,190,mit,https://github.com/scarletkc/vexor,2025-11-09 16:18:11,2026-02-05 05:00:13,2026-02-05 13:09:33
1080317236,alonw0/web-asset-generator,174,mit,https://github.com/alonw0/web-asset-generator,2025-10-21 15:38:30,2026-02-04 23:53:02,2026-02-05 13:09:33
1133238996,guanyang/antigravity-skills,161,mit,https://github.com/guanyang/antigravity-skills,2026-01-13 12:29:34,2026-02-05 12:56:44,2026-02-05 13:09:33
1095991387,ancoleman/ai-design-components,159,mit,https://github.com/ancoleman/ai-design-components,2025-11-14 03:42:41,2026-02-05 06:10:52,2026-02-05 13:09:33
1127852224,abracadabra50/claude-code-voice-skill,152,mit,https://github.com/abracadabra50/claude-code-voice-skill,2026-01-05 02:06:57,2026-02-05 01:10:11,2026-02-05 13:09:33
1128195573,Agent-3-7/agent37-skills-collection,139,mit,https://github.com/Agent-3-7/agent37-skills-collection,2026-01-05 17:26:55,2026-02-04 21:27:13,2026-02-05 13:09:33
1117061614,Hmbown/aleph,130,mit,https://github.com/Hmbown/aleph,2025-12-16 03:20:02,2026-02-05 00:29:24,2026-02-05 13:09:33
1083431753,fleurytian/awesome-claude-skills,120,mit,https://github.com/fleurytian/awesome-claude-skills,2025-10-26 10:06:15,2026-02-05 09:31:34,2026-02-05 13:09:33
1129348925,tech-shrimp/agent-skills-examples,107,mit,https://github.com/tech-shrimp/agent-skills-examples,2026-01-07 09:02:28,2026-02-05 10:28:19,2026-02-05 13:09:33
