Repo_ID,Name,Stars,License,URL,Created_At,Updated_At,First_Grabbed_At,Last_Grabbed_At
1080225523,K-Dense-AI/claude-skills-mcp,291,mit,https://github.com/K-Dense-AI/claude-skills-mcp,2025-10-21 11:53:28,2026-01-28 14:19:08,2026-01-28 21:46:40,2026-01-28 21:58:16
1091022859,ailabs-393/ai-labs-claude-skills,286,mit,https://github.com/ailabs-393/ai-labs-claude-skills,2025-11-06 21:03:42,2026-01-28 13:47:58,2026-01-28 21:46:40,2026-01-28 21:58:16
1120001588,notedit/happy-skills,285,mit,https://github.com/notedit/happy-skills,2025-12-20 17:23:37,2026-01-28 11:10:51,2026-01-28 21:46:40,2026-01-28 21:58:16
1107847846,gotalab/skillport,273,mit,https://github.com/gotalab/skillport,2025-12-02 01:29:59,2026-01-28 01:47:52,2026-01-28 21:46:40,2026-01-28 21:58:16
1141853351,joeseesun/anything-to-notebooklm,273,mit,https://github.com/joeseesun/anything-to-notebooklm,2026-01-25 22:48:01,2026-01-28 21:25:53,2026-01-28 21:46:40,2026-01-28 21:58:16
1123503916,iamzhihuix/happy-claude-skills,241,mit,https://github.com/iamzhihuix/happy-claude-skills,2025-12-27 10:40:43,2026-01-27 15:39:12,2026-01-28 21:46:40,2026-01-28 21:58:16
1106580780,vstorm-co/pydantic-deepagents,231,mit,https://github.com/vstorm-co/pydantic-deepagents,2025-11-29 22:36:36,2026-01-28 17:10:20,2026-01-28 21:46:40,2026-01-28 21:58:16
1092747695,scarletkc/vexor,188,mit,https://github.com/scarletkc/vexor,2025-11-09 16:18:11,2026-01-27 00:26:34,2026-01-28 21:46:40,2026-01-28 21:58:16
1080317236,alonw0/web-asset-generator,171,mit,https://github.com/alonw0/web-asset-generator,2025-10-21 15:38:30,2026-01-28 17:11:05,2026-01-28 21:46:40,2026-01-28 21:58:16
1134675966,GPTomics/bioSkills,149,mit,https://github.com/GPTomics/bioSkills,2026-01-15 11:26:22,2026-01-28 17:47:23,2026-01-28 21:46:40,2026-01-28 21:58:16
1127852224,abracadabra50/claude-code-voice-skill,149,mit,https://github.com/abracadabra50/claude-code-voice-skill,2026-01-05 02:06:57,2026-01-28 00:35:50,2026-01-28 21:46:40,2026-01-28 21:58:16
1128712337,moltbot/skills,131,mit,https://github.com/moltbot/skills,2026-01-06 11:39:15,2026-01-28 21:57:46,2026-01-28 21:46:40,2026-01-28 21:58:16
1128195573,Agent-3-7/agent37-skills-collection,130,mit,https://github.com/Agent-3-7/agent37-skills-collection,2026-01-05 17:26:55,2026-01-27 14:27:31,2026-01-28 21:46:40,2026-01-28 21:58:16
1095991387,ancoleman/ai-design-components,130,mit,https://github.com/ancoleman/ai-design-components,2025-11-14 03:42:41,2026-01-28 20:23:21,2026-01-28 21:46:40,2026-01-28 21:58:16
1117061614,Hmbown/aleph,120,mit,https://github.com/Hmbown/aleph,2025-12-16 03:20:02,2026-01-28 07:10:33,2026-01-28 21:46:40,2026-01-28 21:58:16
1083431753,fleurytian/awesome-claude-skills,115,mit,https://github.com/fleurytian/awesome-claude-skills,2025-10-26 10:06:15,2026-01-26 10:21:45,2026-01-28 21:46:40,2026-01-28 21:58:16
1087021837,staruhub/ClaudeSkills,113,mit,https://github.com/staruhub/ClaudeSkills,2025-10-31 16:59:13,2026-01-26 00:23:11,2026-01-28 21:46:40,2026-01-28 21:58:16
1083855123,maxvaega/skillkit,110,mit,https://github.com/maxvaega/skillkit,2025-10-27 04:56:30,2026-01-28 18:54:28,2026-01-28 21:46:40,2026-01-28 21:58:16
1129348925,tech-shrimp/agent-skills-examples,101,mit,https://github.com/tech-shrimp/agent-skills-examples,2026-01-07 09:02:28,2026-01-28 17:13:02,2026-01-28 21:46:40,2026-01-28 21:58:16
